Destination,Destination IP,Hop,IP,ASN,City,Region,Country,Loc,Postal,Timezone,RTT1,RTT2,RTT3
wikipedia.org,208.80.154.224,15,*,,,,,,,,*,*,*
v6velugu.com,51.158.30.124,17,*,,,,,,,,*,*,*
syracuse.com,99.83.138.34,13,*,,,,,,,,*,*,*
amazon.com,52.94.236.248,13,*,,,,,,,,*,*,*
egramswaraj.gov.in,164.100.128.240,14,*,,,,,,,,*,*,*
list.ly,99.83.220.108,13,*,,,,,,,,*,*,*
skyeng.ru,178.248.234.206,14,*,,,,,,,,*,*,*
office.com,13.107.6.156,15,*,,,,,,,,*,*,*
mail.ru,217.69.139.200,16,*,,,,,,,,*,*,*
ungrounded.net,15.235.14.84,16,*,,,,,,,,*,*,*
dzen.ru,5.61.23.39,16,*,,,,,,,,*,*,*
canalturf.com,185.103.143.176,17,*,,,,,,,,*,*,*
krakow.pl,149.156.2.195,15,*,,,,,,,,*,*,*
facebook.com,31.13.71.36,17,*,,,,,,,,*,*,*
messefrankfurt.com,193.109.4.37,16,*,,,,,,,,*,*,*
instagram.com,157.240.241.174,17,*,,,,,,,,*,*,*
linkedin.com,150.171.22.12,14,*,,,,,,,,*,*,*
amazonaws.com,72.21.206.80,14,*,,,,,,,,*,*,*
nationaltrust.org.uk,52.210.108.135,15,*,,,,,,,,*,*,*
azure.com,20.231.239.246,18,*,,,,,,,,*,*,*
live.com,204.79.197.212,15,*,,,,,,,,*,*,*
fbcdn.net,57.144.180.1,17,*,,,,,,,,*,*,*
microsoft.com,13.107.253.40,18,*,,,,,,,,*,*,*
wikipedia.org,208.80.154.224,16,*,,,,,,,,*,*,*
v6velugu.com,51.158.30.124,18,*,,,,,,,,*,*,*
syracuse.com,99.83.138.34,14,*,,,,,,,,*,*,*
amazon.com,52.94.236.248,14,*,,,,,,,,*,*,*
egramswaraj.gov.in,164.100.128.240,15,*,,,,,,,,*,*,*
list.ly,99.83.220.108,14,*,,,,,,,,*,*,*
skyeng.ru,178.248.234.206,15,*,,,,,,,,*,*,*
office.com,13.107.6.156,16,*,,,,,,,,*,*,*
mail.ru,217.69.139.200,17,*,,,,,,,,*,*,*
ungrounded.net,15.235.14.84,17,*,,,,,,,,*,*,*
canalturf.com,185.103.143.176,18,*,,,,,,,,*,*,*
dzen.ru,5.61.23.39,17,*,,,,,,,,*,*,*
krakow.pl,149.156.2.195,16,*,,,,,,,,*,*,*
facebook.com,31.13.71.36,18,*,,,,,,,,*,*,*
messefrankfurt.com,193.109.4.37,17,*,,,,,,,,*,*,*
instagram.com,157.240.241.174,18,*,,,,,,,,*,*,*
linkedin.com,150.171.22.12,15,*,,,,,,,,*,*,*
amazonaws.com,72.21.206.80,15,*,,,,,,,,*,*,*
nationaltrust.org.uk,52.210.108.135,16,*,,,,,,,,*,*,*
azure.com,20.231.239.246,19,*,,,,,,,,*,*,*
live.com,204.79.197.212,16,*,,,,,,,,*,*,*
fbcdn.net,57.144.180.1,18,*,,,,,,,,*,*,*
microsoft.com,13.107.253.40,19,*,,,,,,,,*,*,*
wikipedia.org,208.80.154.224,17,*,,,,,,,,*,*,*
v6velugu.com,51.158.30.124,19,*,,,,,,,,*,*,*
syracuse.com,99.83.138.34,15,*,,,,,,,,*,*,*
amazon.com,52.94.236.248,15,*,,,,,,,,*,*,*
egramswaraj.gov.in,164.100.128.240,16,*,,,,,,,,*,*,*
list.ly,99.83.220.108,15,*,,,,,,,,*,*,*
skyeng.ru,178.248.234.206,16,*,,,,,,,,*,*,*
office.com,13.107.6.156,17,*,,,,,,,,*,*,*
mail.ru,217.69.139.200,18,*,,,,,,,,*,*,*
ungrounded.net,15.235.14.84,18,*,,,,,,,,*,*,*
dzen.ru,5.61.23.39,18,*,,,,,,,,*,*,*
canalturf.com,185.103.143.176,19,*,,,,,,,,*,*,*
krakow.pl,149.156.2.195,17,*,,,,,,,,*,*,*
facebook.com,31.13.71.36,19,*,,,,,,,,*,*,*
messefrankfurt.com,193.109.4.37,18,*,,,,,,,,*,*,*
instagram.com,157.240.241.174,19,*,,,,,,,,*,*,*
linkedin.com,150.171.22.12,16,*,,,,,,,,*,*,*
amazonaws.com,72.21.206.80,16,*,,,,,,,,*,*,*
nationaltrust.org.uk,52.210.108.135,17,*,,,,,,,,*,*,*
azure.com,20.231.239.246,20,*,,,,,,,,*,*,*
live.com,204.79.197.212,17,*,,,,,,,,*,*,*
fbcdn.net,57.144.180.1,19,*,,,,,,,,*,*,*
microsoft.com,13.107.253.40,20,*,,,,,,,,*,*,*
wikipedia.org,208.80.154.224,18,*,,,,,,,,*,*,*
v6velugu.com,51.158.30.124,20,*,,,,,,,,*,*,*
syracuse.com,99.83.138.34,16,*,,,,,,,,*,*,*
amazon.com,52.94.236.248,16,*,,,,,,,,*,*,*
egramswaraj.gov.in,164.100.128.240,17,*,,,,,,,,*,*,*
list.ly,99.83.220.108,16,*,,,,,,,,*,*,*
skyeng.ru,178.248.234.206,17,*,,,,,,,,*,*,*
office.com,13.107.6.156,18,*,,,,,,,,*,*,*
mail.ru,217.69.139.200,19,*,,,,,,,,*,*,*
ungrounded.net,15.235.14.84,19,*,,,,,,,,*,*,*
canalturf.com,185.103.143.176,20,*,,,,,,,,*,*,*
dzen.ru,5.61.23.39,19,*,,,,,,,,*,*,*
facebook.com,31.13.71.36,20,*,,,,,,,,*,*,*
krakow.pl,149.156.2.195,18,*,,,,,,,,*,*,*
messefrankfurt.com,193.109.4.37,19,*,,,,,,,,*,*,*
instagram.com,157.240.241.174,20,*,,,,,,,,*,*,*
linkedin.com,150.171.22.12,17,*,,,,,,,,*,*,*
amazonaws.com,72.21.206.80,17,*,,,,,,,,*,*,*
nationaltrust.org.uk,52.210.108.135,18,*,,,,,,,,*,*,*
live.com,204.79.197.212,18,*,,,,,,,,*,*,*
fbcdn.net,57.144.180.1,20,*,,,,,,,,*,*,*
wikipedia.org,208.80.154.224,19,*,,,,,,,,*,*,*
syracuse.com,99.83.138.34,17,*,,,,,,,,*,*,*
amazon.com,52.94.236.248,17,*,,,,,,,,*,*,*
egramswaraj.gov.in,164.100.128.240,18,*,,,,,,,,*,*,*
list.ly,99.83.220.108,17,*,,,,,,,,*,*,*
skyeng.ru,178.248.234.206,18,*,,,,,,,,*,*,*
office.com,13.107.6.156,19,*,,,,,,,,*,*,*
mail.ru,217.69.139.200,20,*,,,,,,,,*,*,*
ungrounded.net,15.235.14.84,20,*,,,,,,,,*,*,*
dzen.ru,5.61.23.39,20,*,,,,,,,,*,*,*
krakow.pl,149.156.2.195,19,*,,,,,,,,*,*,*
messefrankfurt.com,193.109.4.37,20,*,,,,,,,,*,*,*
linkedin.com,150.171.22.12,18,*,,,,,,,,*,*,*
amazonaws.com,72.21.206.80,18,*,,,,,,,,*,*,*
nationaltrust.org.uk,52.210.108.135,19,*,,,,,,,,*,*,*
live.com,204.79.197.212,19,*,,,,,,,,*,*,*
wikipedia.org,208.80.154.224,20,*,,,,,,,,*,*,*
syracuse.com,99.83.138.34,18,*,,,,,,,,*,*,*
amazon.com,52.94.236.248,18,*,,,,,,,,*,*,*
egramswaraj.gov.in,164.100.128.240,19,*,,,,,,,,*,*,*
list.ly,99.83.220.108,18,*,,,,,,,,*,*,*
skyeng.ru,178.248.234.206,19,*,,,,,,,,*,*,*
office.com,13.107.6.156,20,*,,,,,,,,*,*,*
krakow.pl,149.156.2.195,20,*,,,,,,,,*,*,*
linkedin.com,150.171.22.12,19,*,,,,,,,,*,*,*
amazonaws.com,72.21.206.80,19,*,,,,,,,,*,*,*
nationaltrust.org.uk,52.210.108.135,20,*,,,,,,,,*,*,*
live.com,204.79.197.212,20,*,,,,,,,,*,*,*
syracuse.com,99.83.138.34,19,*,,,,,,,,*,*,*
amazon.com,52.94.236.248,19,*,,,,,,,,*,*,*
